date,open,close,high,low,volume,amount,amplitude,pct,change,turnover
2019-11-14,102.31,102.308,102.312,102.303,609061,6231092224.0,0.01,0.00,0.003,5.47
2019-11-15,102.323,102.316,102.327,102.315,602902,6168973824.0,0.01,0.01,0.008,5.41
2019-11-18,102.325,102.328,102.33,102.32,647307,6623585280.0,0.01,0.01,0.012,5.81
2019-11-19,102.333,102.337,102.339,102.331,650125,6652973312.0,0.01,0.01,0.009,5.84
2019-11-20,102.341,102.348,102.352,102.339,601756,6158656512.0,0.01,0.01,0.011,5.40
2019-11-21,102.35,102.347,102.354,102.346,656619,6720612096.0,0.01,0.00,-0.001,5.89
2019-11-22,102.363,102.365,102.366,102.355,781675,8001266176.0,0.01,0.02,0.018,7.02
2019-11-25,102.369,102.37,102.373,102.364,772535,7908378880.0,0.01,0.00,0.005,6.93
2019-11-26,102.378,102.375,102.379,102.371,638317,6534692608.0,0.01,0.00,0.005,5.73
2019-11-27,102.382,102.41,102.415,102.38,823212,8429141504.0,0.03,0.03,0.035,7.39
2019-11-28,102.405,102.396,102.412,102.393,730829,7483716096.0,0.02,-0.01,-0.014,6.56
2019-11-29,102.414,102.419,102.422,102.408,678426,6947932160.0,0.01,0.02,0.023,6.09
2019-12-02,102.421,102.423,102.428,102.412,554223,5676485888.0,0.02,0.00,0.004,4.98
2019-12-03,102.429,102.428,102.435,102.427,666797,6830053632.0,0.01,0.00,0.005,5.99
2019-12-04,102.434,102.435,102.435,102.426,706900,7240824064.0,0.01,0.01,0.007,6.35
2019-12-05,102.44,102.433,102.44,102.431,830681,8509140224.0,0.01,0.00,-0.002,7.46
2019-12-06,102.441,102.446,102.449,102.441,703741,7209472768.0,0.01,0.01,0.013,6.32
2019-12-09,102.458,102.464,102.466,102.453,781746,8009759488.0,0.01,0.02,0.018,7.02
2019-12-10,102.467,102.465,102.471,102.458,664664,6810496512.0,0.01,0.00,0.001,5.97
2019-12-11,102.471,102.468,102.472,102.458,774929,7940252416.0,0.01,0.00,0.003,6.96
2019-12-12,102.474,102.479,102.481,102.467,704950,7223883008.0,0.01,0.01,0.011,6.33
2019-12-13,102.48,102.481,102.486,102.475,754403,7731159296.0,0.01,0.00,0.002,6.77
